idHidreletrica;nome;codigo_usina;codigo_posto;submercado;bacia;considerar_usina;representacao_discreta_producao;jusante;jusante_desvio;tempo_viagem_agua;vertimento_maximo;penalidade_afluencia_incremental;penalidade_vertimento;penalidade_turbinamento;penalidade_desvio_agua;penalidade_turbinamento_minimo;penalidade_vazao_defluente_minima;penalidade_vazao_defluente_maxima;penalidade_vazao_desviada_minima;penalidade_volume_minimo;penalidade_potencia_minima;tipo_detalhamento_producao;penalidade_evaporacao;penalidade_volume_util_minimo;penalidade_vazao_retirada
1;CAMARGOS;1;1;1;1;1;0;2;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
2;ITUTINGA;2;2;1;1;1;0;3;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
3;FUNIL-GRANDE;4;211;1;1;1;0;4;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
4;FURNAS;6;6;1;1;1;0;5;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
5;M. DE MORAES;7;7;1;1;1;0;6;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
6;ESTREITO;8;8;1;1;1;0;7;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
7;JAGUARA;9;9;1;1;1;0;8;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
8;IGARAPAVA;10;10;1;1;1;0;9;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
9;VOLTA GRANDE;11;11;1;1;1;0;10;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
10;P. COLOMBIA;12;12;1;1;1;0;14;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
11;CACONDE;14;14;1;1;1;0;12;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
12;E. DA CUNHA;15;15;1;1;1;0;13;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
13;A.S.OLIVEIRA;16;16;1;1;1;0;14;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
14;MARIMBONDO;17;17;1;1;1;0;15;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
15;A. VERMELHA;18;18;1;1;1;0;28;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
16;BATALHA;20;22;1;2;1;0;17;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
17;SERRA FACAO;21;251;1;2;1;0;18;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
18;EMBORCACAO;24;24;1;2;1;0;25;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
19;NOVA PONTE;25;25;1;2;1;0;20;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
20;MIRANDA;26;206;1;2;1;0;21;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
21;CAPIM BRANC1;27;207;1;2;1;0;22;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
22;CAPIM BRANC2;28;28;1;2;1;0;25;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
23;CORUMBA IV;29;205;1;2;1;0;124;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
24;CORUMBA I;30;209;1;2;1;0;25;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
25;ITUMBIARA;31;31;1;2;1;0;26;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
26;CACH.DOURADA;32;32;1;2;1;0;27;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
27;SAO SIMAO;33;33;1;2;1;0;28;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
28;I. SOLTEIRA;34;34;1;8;1;0;35;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
29;BARRA BONITA;37;237;1;6;1;0;30;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
30;A.S. LIMA;38;238;1;6;1;0;31;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
31;IBITINGA;39;239;1;6;1;0;32;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
32;PROMISSAO;40;240;1;6;1;0;33;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
33;NAVANHANDAVA;42;242;1;6;1;0;34;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
34;TRES IRMAOS;43;243;1;6;1;0;35;28;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
35;JUPIA;45;245;1;8;1;0;36;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
36;P. PRIMAVERA;46;246;1;8;1;0;47;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
37;A.A. LAYDNER;47;47;1;7;1;0;38;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
38;PIRAJU;48;48;1;7;1;0;39;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
39;CHAVANTES;49;49;1;7;1;0;133;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
40;L.N. GARCEZ;50;50;1;7;1;0;41;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
41;CANOAS II;51;51;1;7;1;0;42;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
42;CANOAS I;52;52;1;7;1;0;44;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
43;MAUA;57;57;2;7;1;0;44;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
44;CAPIVARA;61;61;1;7;1;0;45;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
45;TAQUARUCU;62;62;1;7;1;0;46;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
46;ROSANA;63;63;1;7;1;0;47;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
47;ITAIPU;66;266;8;14;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;7643.82;por_usina;10000;0;10000
48;STA CLARA PR;71;71;2;16;1;0;49;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
49;FUNDAO;72;72;2;16;1;0;50;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
50;JORDAO;73;73;2;16;1;0;53;52;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;sem_producao;10000;0;10000
51;G.B. MUNHOZ;74;74;2;16;1;0;52;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
52;SEGREDO;76;76;2;16;1;0;53;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
53;SLT.SANTIAGO;77;77;2;16;1;0;54;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
54;SALTO OSORIO;78;78;2;16;1;0;55;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
55;SALTO CAXIAS;82;222;2;16;1;0;56;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
56;BAIXO IGUACU;83;81;2;16;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
57;BARRA GRANDE;86;215;2;13;1;0;60;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
58;GARIBALDI;89;89;2;13;1;0;59;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
59;CAMPOS NOVOS;90;216;2;13;1;0;60;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
60;MACHADINHO;91;217;2;13;1;0;61;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
61;ITA;92;92;2;13;1;0;70;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
62;PASSO FUNDO;93;93;2;13;1;0;63;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
63;MONJOLINHO;94;220;2;13;1;0;70;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
64;QUEBRA QUEIX;95;286;2;13;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
65;CASTRO ALVES;97;98;2;15;1;0;66;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
66;MONTE CLARO;98;97;2;15;1;0;67;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
67;14 DE JULHO;99;284;2;15;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
68;SAO JOSE;101;102;2;13;1;0;69;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
69;PASSO S JOAO;102;103;2;13;1;0;Nenhum;Nenhum;0;1.00E+21;7651;0.001;0;7651;5000;7643.82;7643.82;5000;10000;5000;por_usina;10000;0;10000
