idRestricaoOperativaUHE;nome;tipoRestricaoHidraulica;penalidade_restricao_operativa_UHE
1;12_2019_REV3_volume_armazenado_117;volume_armazenado;5000
2;12_2019_REV3_vazao_defluente_154;vazao_defluente;5000
3;12_2019_REV3_vazao_defluente_164;vazao_defluente;5000
4;12_2019_REV3_vazao_defluente_247;vazao_defluente;5000
5;12_2019_REV3_volume_armazenado_3;volume_armazenado;5000
6;12_2019_REV3_volume_armazenado_4;volume_armazenado;5000
7;12_2019_REV3_volume_armazenado_9;volume_armazenado;5000
8;12_2019_REV3_volume_armazenado_13;volume_armazenado;5000
9;12_2019_REV3_volume_armazenado_15;volume_armazenado;5000
10;12_2019_REV3_volume_armazenado_17;volume_armazenado;5000
11;12_2019_REV3_volume_armazenado_20;volume_armazenado;5000
12;12_2019_REV3_volume_armazenado_25;volume_armazenado;5000
13;12_2019_REV3_volume_armazenado_26;volume_armazenado;5000
14;12_2019_REV3_volume_armazenado_27;volume_armazenado;5000
15;12_2019_REV3_volume_armazenado_41;volume_armazenado;5000
16;12_2019_REV3_volume_armazenado_42;volume_armazenado;5000
17;12_2019_REV3_volume_armazenado_50;volume_armazenado;5000
18;12_2019_REV3_volume_armazenado_54;volume_armazenado;5000
19;12_2019_REV3_volume_armazenado_55;volume_armazenado;5000
20;12_2019_REV3_volume_armazenado_65;volume_armazenado;5000
21;12_2019_REV3_volume_armazenado_66;volume_armazenado;5000
22;12_2019_REV3_volume_armazenado_67;volume_armazenado;5000
23;12_2019_REV3_volume_armazenado_71;volume_armazenado;5000
24;12_2019_REV3_volume_armazenado_73;volume_armazenado;5000
25;12_2019_REV3_volume_armazenado_75;volume_armazenado;5000
26;12_2019_REV3_volume_armazenado_83;volume_armazenado;5000
27;12_2019_REV3_volume_armazenado_92;volume_armazenado;5000
28;12_2019_REV3_volume_armazenado_101;volume_armazenado;5000
29;12_2019_REV3_volume_armazenado_103;volume_armazenado;5000
30;12_2019_REV3_volume_armazenado_105;volume_armazenado;5000
31;12_2019_REV3_volume_armazenado_115;volume_armazenado;5000
32;12_2019_REV3_volume_armazenado_116;volume_armazenado;5000
33;12_2019_REV3_vazao_defluente_5;vazao_defluente;5000
