idTermeletrica;AttVetor;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024
1;tipo_detalhamento_producao;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina
1;disponibilidade;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;tipo_detalhamento_producao;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina
2;disponibilidade;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;tipo_detalhamento_producao;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina
3;disponibilidade;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
4;tipo_detalhamento_producao;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina
4;disponibilidade;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;tipo_detalhamento_producao;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina
5;disponibilidade;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
6;tipo_detalhamento_producao;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina
6;disponibilidade;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7;tipo_detalhamento_producao;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina
7;disponibilidade;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
8;tipo_detalhamento_producao;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina
8;disponibilidade;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;tipo_detalhamento_producao;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina;por_usina
9;disponibilidade;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
