idRestricaoEletrica;idElementoSistema;tipo_elemento;unidadehidraulica;conjuntohidraulico;hidreletrica;termeletrica;demandaEspecial;unidadeTermeletrica;contrato;intercambio;eolica;usina_elevatoria;tipoVariavelRestricaoOperativa;fator_participacao
1;1;hidreletrica;Nenhum;Nenhum;151;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
1;2;hidreletrica;Nenhum;Nenhum;153;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
2;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;14;Nenhum;Nenhum;Nenhum;0
2;2;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;11;Nenhum;Nenhum;Nenhum;0
3;1;hidreletrica;Nenhum;Nenhum;137;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
3;2;hidreletrica;Nenhum;Nenhum;138;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
3;3;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;13;Nenhum;Nenhum;Nenhum;0
4;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;15;Nenhum;Nenhum;Nenhum;0
4;2;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;10;Nenhum;Nenhum;Nenhum;0
5;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;14;Nenhum;Nenhum;Nenhum;0
5;2;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;12;Nenhum;Nenhum;Nenhum;0
5;3;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;11;Nenhum;Nenhum;Nenhum;0
6;1;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;13;Nenhum;Nenhum;Nenhum;0
6;2;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;11;Nenhum;Nenhum;Nenhum;0
7;1;hidreletrica;Nenhum;Nenhum;134;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
7;2;hidreletrica;Nenhum;Nenhum;135;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
7;3;hidreletrica;Nenhum;Nenhum;136;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
7;4;hidreletrica;Nenhum;Nenhum;137;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
7;5;hidreletrica;Nenhum;Nenhum;138;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
7;6;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;14;Nenhum;Nenhum;Nenhum;0
7;7;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;13;Nenhum;Nenhum;Nenhum;0
8;1;hidreletrica;Nenhum;Nenhum;134;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
8;2;hidreletrica;Nenhum;Nenhum;135;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
8;3;hidreletrica;Nenhum;Nenhum;136;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
8;4;hidreletrica;Nenhum;Nenhum;137;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
8;5;hidreletrica;Nenhum;Nenhum;138;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
8;6;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;14;Nenhum;Nenhum;Nenhum;0
8;7;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;12;Nenhum;Nenhum;Nenhum;0
9;1;hidreletrica;Nenhum;Nenhum;140;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
9;2;hidreletrica;Nenhum;Nenhum;141;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
